x            y      theta
-943.1381 -115.8373 1.3680
-943.1204 -115.6332 1.4629
-943.1521 -115.9935 1.5804
-943.0694 -115.5729 1.6840
-943.1201 -115.6926 1.3564
-943.2140 -115.6897 1.5698
-942.9188 -115.5564 1.4431
-943.1391 -115.7871 1.3674
-943.0091 -115.6777 1.5172
-943.0933 -115.7026 1.4077
-943.0808 -115.7054 1.4273
-943.1091 -115.6522 1.4347
-943.2175 -115.7705 1.4792
-943.0689 -115.7542 1.4056
-942.9999 -115.5645 1.3734
-943.1074 -115.9603 1.4871
-943.2189 -115.5994 1.5233
-943.1464 -115.7650 1.5246
-943.0492 -115.7972 1.5367
-943.0949 -115.6451 1.4719
-943.0225 -115.6535 1.4799
-943.1601 -115.7389 1.5154
-943.1284 -115.6312 1.6103
-942.9987 -115.8176 1.2457
-942.7949 -115.7543 1.3539
-943.1692 -115.7318 1.5578
-942.9605 -115.7263 1.4626
-943.1314 -115.7708 1.6711
-943.1836 -115.6253 1.4524
-943.1839 -115.7730 1.3115
-943.0925 -115.5543 1.4595
-943.2662 -115.8130 1.2818
-943.0841 -115.6568 1.4229
-943.0731 -115.7071 1.4125
-942.8122 -115.8774 1.4302
-943.1506 -115.6017 1.6052
-942.9971 -115.6500 1.4111
-943.1909 -115.7451 1.1915
-943.0104 -115.5273 1.5985
-943.1248 -115.7785 1.3532
-943.1018 -115.7307 1.5027
-943.1073 -115.7998 1.3973
-943.0802 -115.6501 1.3619
-943.1213 -115.7755 1.4957
-942.9710 -115.8339 1.4303
-943.1032 -115.7011 1.5244
-942.9897 -115.7432 1.4218
-943.1521 -115.8004 1.3484
-943.0082 -115.7125 1.4725
-942.9877 -115.7217 1.4558
-942.9897 -115.6921 1.4348
-943.0209 -115.7757 1.2725
-943.0639 -115.6858 1.5119
-943.1405 -115.6227 1.1923
-943.0879 -115.5764 1.3946
-943.0590 -115.5619 1.5850
-943.1778 -115.6068 1.3496
-943.1393 -115.7568 1.5813
-942.9795 -115.6496 1.4044
-943.0682 -115.7259 1.2244
-943.1078 -115.6106 1.4456
-942.8924 -115.7474 1.4552
-943.1860 -115.5965 1.4344
-943.0491 -115.7187 1.3045
-943.2701 -115.7072 1.4609
-943.0997 -115.5840 1.4518
-943.1512 -115.5258 1.5260
-943.1525 -115.5918 1.5581
-942.9937 -115.7098 1.5729
-943.0291 -115.6127 1.3075
-943.1626 -115.7539 1.3117
-943.1336 -115.7627 1.3541
-943.0308 -115.6904 1.5138
-943.2443 -115.7174 1.3768
-942.9822 -115.6850 1.3970
-943.0043 -115.4924 1.6344
-943.2324 -115.7467 1.4250
-943.1181 -115.9314 1.6883
-943.0254 -115.5167 1.3513
-942.9466 -115.5743 1.5155
-942.9797 -115.8663 1.3548
-942.9642 -115.5710 1.4268
-943.2297 -115.6586 1.3647
-942.8763 -115.7602 1.5618
-942.9899 -115.8736 1.5345
-942.9527 -115.7274 1.3925
-943.1553 -115.7140 1.6490
-943.1031 -115.7373 1.5065
-943.0416 -115.6982 1.4548
-943.1119 -115.4994 1.6372
-942.9828 -115.7268 1.5316
-943.2351 -115.7123 1.5463
-943.2647 -115.6870 1.4215
-943.0115 -115.7076 1.4984
-943.0991 -115.8026 1.5463
-943.0387 -115.7004 1.3935
-943.1416 -115.5999 1.2764
-943.0004 -115.4813 1.1234
-943.1971 -115.8100 1.4200
-943.0094 -116.0597 1.3325
-942.8766 -115.8519 1.4950
-943.0504 -115.7793 1.4523
-942.9710 -115.7145 1.5085
-943.2959 -115.6873 1.4261
-943.0405 -115.6953 1.3970
-942.9615 -115.7322 1.5821
-943.1202 -115.5555 1.5239
-942.9758 -115.8501 1.5650
-943.2043 -115.7789 1.4690
-943.1354 -115.6775 1.4951
-943.0937 -115.7694 1.3222
-942.9509 -115.7936 1.4342
-943.2915 -115.8468 1.5610
-943.0771 -115.8082 1.5140
-943.1169 -115.8639 1.3400
-943.0134 -115.4873 1.3544
-942.9573 -115.7377 1.2294
-943.1151 -115.5716 1.5928
-943.0924 -115.7146 1.3552
-943.0651 -115.8071 1.3894
-943.2124 -115.8368 1.3500
-943.0614 -115.5905 1.4307
-943.3056 -115.9522 1.4530
-943.0965 -115.7145 1.4713
-943.0399 -115.5912 1.4792
-943.1332 -115.5577 1.4276
-943.1724 -115.7273 1.3604
-943.1222 -115.6323 1.3387
-943.1541 -115.6676 1.4813
-943.2639 -115.6950 1.6339
-943.1918 -116.0248 1.4171
-943.0101 -115.6970 1.6093
-943.1359 -115.7534 1.5408
-943.3427 -115.6635 1.4308
-943.0006 -115.7482 1.3497
-943.0698 -115.8978 1.5068
-943.0452 -115.8457 1.4068
-943.0096 -115.7966 1.4542
-943.0262 -115.8314 1.4203
-943.0993 -115.6442 1.3812
-943.0862 -115.7563 1.3108
-942.9804 -115.7422 1.3257
-943.1413 -115.7030 1.5287
-943.0677 -115.6189 1.3167
-943.3244 -115.7455 1.4947
-943.1099 -115.8504 1.5398
-943.0341 -115.8903 1.4444
-943.1413 -115.7303 1.4101
-943.3348 -115.7658 1.3554
-943.0578 -115.6589 1.3893
-943.1912 -115.6606 1.4131
-943.1720 -115.8088 1.3438
-943.1967 -115.5717 1.6102
-942.9981 -115.7152 1.4800
-943.2083 -115.9099 1.4202
-943.0320 -115.5794 1.3024
-942.9697 -115.7947 1.4961
-943.1583 -115.7641 1.6389
-943.0695 -115.6210 1.4312
-943.1419 -115.6317 1.4234
-943.1445 -115.8291 1.3997
-943.0863 -115.8163 1.3750
-942.8962 -115.6875 1.6303
-943.0808 -115.7992 1.6240
-942.9200 -115.6590 1.1735
-942.9929 -115.6844 1.3861
-943.1265 -115.7708 1.2519
-942.9718 -115.6105 1.3748
-943.0934 -115.6831 1.4270
-943.0611 -115.9259 1.5135
-943.0741 -115.6472 1.6421
-943.0211 -115.8175 1.4517
-943.0359 -115.7457 1.4233
-942.9919 -115.8011 1.2928
-943.1367 -115.6267 1.5565
-943.0526 -115.7956 1.4175
-943.1076 -115.8229 1.5158
-943.1313 -115.5189 1.2986
-942.9612 -115.7637 1.4297
-943.0665 -115.7252 1.4742
-943.1036 -115.6548 1.4759
-943.2289 -115.6847 1.5278
-942.9820 -115.7868 1.4249
-943.1059 -115.6594 1.6493
-943.1970 -115.6191 1.6082
-943.1677 -115.9005 1.5939
-943.1954 -115.7585 1.5260
-943.2049 -115.7593 1.5257
-942.9936 -115.6395 1.6300
-943.0291 -115.8035 1.4567
-943.0022 -115.8829 1.4603
-943.2082 -115.6250 1.5430
-943.0977 -115.7609 1.5362
-943.2242 -115.7884 1.1637
-943.2121 -115.6753 1.3115
-943.0152 -115.7383 1.3922
-942.9876 -115.6464 1.5176
-943.1451 -115.7625 1.5000
-943.1884 -115.7670 1.3890
-943.0854 -115.6690 1.4077
-943.1203 -115.6624 1.4710
-943.0501 -115.7666 1.5777
-943.2030 -115.7552 1.2473
-943.1967 -115.7407 1.5383
-943.0661 -115.7639 1.5762
-943.1474 -115.6689 1.5477
-943.0254 -115.5852 1.4342
-942.9345 -115.7019 1.5910
-943.1410 -115.6875 1.5260
-943.1924 -115.7753 1.4878
-943.0179 -115.8307 1.5097
-942.9972 -115.5084 1.3646
-943.0314 -115.8214 1.4197
-943.2360 -115.7492 1.2835
-942.9982 -115.6843 1.3183
-943.0711 -115.7924 1.4940
-943.2238 -115.6993 1.4389
-942.9534 -115.6109 1.3133
-943.2456 -115.9259 1.3845
-943.1356 -115.7170 1.4918
-943.0720 -115.4871 1.4611
-943.0608 -115.5468 1.3486
-942.9259 -115.9281 1.5112
-943.2010 -115.6731 1.3726
-943.0584 -115.7148 1.5002
-943.1207 -115.7285 1.3888
-943.1312 -115.8956 1.4919
-943.3360 -115.8941 1.3371
-942.9242 -115.7924 1.2813
-943.1192 -115.6095 1.4426
-942.8212 -115.8102 1.4009
-943.1496 -115.7241 1.3811
-942.9149 -115.7176 1.3314
-942.9877 -115.7684 1.2277
-943.1593 -115.6311 1.5299
-943.1493 -115.6363 1.5068
-943.0810 -115.7373 1.6044
-942.9711 -115.6178 1.4047
